File Name,Flagged,Sample Rate (Hz),Onset (s),Peak Time (s),Peak-Onset Lag (ms),Slope (dB/s),R^2,Drop Time (s),C2 (dB),Spectral Centroid (Hz),Spectral Bandwidth (Hz),Peak Frequency (Hz),Rolloff 85% (Hz),Low Power 1-10 kHz,High Power 10-30 kHz,High/Low Ratio,High Frequency Fraction,Total FFT Power
scam_0086_0674573256_865_ca0_scam05086_naatsiilid___________02p01.wav,True,100000,0.07446,0.07446,0.0,-637.2660834121127,0.4619361666558143,0.01255362588444314,6.57305216701256,4753.896677780401,3645.9382625619846,1000.0,6500.0,60268465736.80552,1111880929.3804865,0.018448800973897513,0.004882492402509373,227728143275.55978
scam_0087_0674660453_555_ca0_scam01087_hastah_tsaadah_______01p01.wav,False,100000,0.07004,0.07042,0.38,-2779.474710185277,0.915341761558261,0.0028782416946210414,7.456760179019492,8569.348632357887,7334.611763537036,4300.0,10000.0,39493222431.596344,5541908709.580281,0.1403255639414855,0.08741321741143633,63398978709.31393
scam_0087_0674660597_663_ca0_scam01087_hastah_tsaadah_______02p01.wav,False,100000,0.06985,0.07023,0.38,-1219.7809853415904,0.717076304162289,0.006558554442262978,7.311374950881588,8461.3894370331,7474.924150241546,4200.0,9800.0,112755751674.70016,13065218886.539131,0.11587186190051066,0.08255737685827344,158256225957.47247
scam_0088_0674752882_228_ca0_scam01088_tsostid_tsaadah______01p01.wav,True,100000,0.06869,0.07021,1.52,-4018.1596946349596,0.7575004742466454,0.001990961188198067,7.397274377170722,7560.834717771369,3437.433925834352,4700.0,10700.0,381286757978.5045,92102005868.3683,0.2415557423412031,0.1898321549748832,485176001297.3269
scam_0088_0674753028_122_ca0_scam01088_tsostid_tsaadah______02p01.wav,False,100000,0.06997,0.07007,0.1,-1081.78292593582,0.6152312194120815,0.007395198988816934,11.325676243977123,7203.816394831544,5995.922749158617,5400.0,9300.0,109435929995.01755,9289045079.402905,0.08488112706517704,0.05063754003401344,183441870856.35312
scam_0089_0674854082_617_ca0_scam01089_taa-ihaaih___________01p01.wav,True,100000,0.07292,0.07457,1.65,-3308.943449714227,0.7770385313157375,0.002417690154448215,4.658845055893348,6056.050294037907,2522.2342592186665,4100.0,9100.0,523776869399.04987,27012826265.265995,0.05157315613470845,0.04225362757491036,639301944368.579
scam_0089_0674854133_584_ca0_scam01089_taa-ihaaih___________02p01.wav,False,100000,0.07436,0.07475,0.39,-1364.3138103125773,0.8263931135290389,0.005863753587722698,12.010229656660886,5601.875963662855,2189.3492801842235,4500.0,7400.0,227685563445.01233,6626412233.767662,0.02910334820313712,0.025974077947621306,255116360516.44736
scam_0094_0675281444_789_ca0_scam02094_neeznaa_2____________01p01.wav,False,100000,0.07077,0.07082,0.05,-3816.5564865288543,0.9864948197809322,0.0020961303804194376,14.375494090732593,9477.281947824622,9607.623710122909,5900.0,11300.0,36297233878.98783,4528454223.599176,0.12476031200329735,0.0675112287416091,67077052336.45319
scam_0094_0675281589_795_ca0_scam02094_neeznaa_2____________02p01.wav,False,100000,0.07059,0.07064,0.05,-4161.557710942951,0.9776374133546764,0.0019223570969504375,12.71745687386008,7911.446070293815,7552.296205200366,5000.0,9400.0,45857168494.72821,4902390548.953363,0.10690565313723954,0.09011281553761745,54402811849.85135
scam_0095_0675396050_573_ca0_scam01095_ashdla_______________01p01.wav,False,100000,0.07149,0.0716,0.11,-5790.6721021753565,0.9270691622265315,0.001381532205388503,14.654922880148177,7615.77149101011,6589.980169401263,4300.0,9800.0,67176269500.42442,9081657865.07193,0.13519145871913224,0.09247488561723184,98206748831.91904
scam_0095_0675396241_617_ca0_scam01095_ashdla_______________02p01.wav,False,100000,0.07152,0.07162,0.1,-7402.2536059277445,0.9286420785490715,0.0010807519474330869,16.41883943242091,9039.259964535988,9211.373179310925,4300.0,10200.0,52033539858.03936,9299700164.132866,0.17872511056339424,0.12148406284916255,76550783255.24551
scam_0098_0675643472_605_ca0_scam01098_ashdla_2_____________01p01.wav,False,100000,0.07117,0.07127,0.1,-386.7453971166592,0.717450835421056,0.020685443342424194,9.949667862224121,8151.989470513035,7572.239201739225,7700.0,9600.0,31262128173.08146,3698587107.320634,0.11830887157916958,0.06634720767434026,55745934711.74915
scam_0098_0675643518_573_ca0_scam01098_ashdla_2_____________02p01.wav,False,100000,0.07102,0.07113,0.11,-4486.617820161543,0.9683610319572337,0.0017830803337093588,14.027695550702681,10024.572580770153,11414.040876524838,4300.0,12500.0,37744685010.767456,4347689724.475947,0.11518680638706294,0.06911389337066673,62906161300.43096
scam_0104_0676170543_585_ca0_scam05104_ad_ees_eez___________01p01.wav,True,100000,0.07466,0.07711,2.4499999999999997,-6555.6747402272595,0.9732812736059658,0.0012203167968218435,-8.331851552068397,5203.132541322385,2236.9969669248367,3800.0,7100.0,614712316627.7322,13982914753.570185,0.022747087337178236,0.02002559417636792,698252178208.5914
scam_0104_0676170689_569_ca0_scam05104_ad_ees_eez___________02p01.wav,False,100000,0.07696,0.07732,0.36000000000000004,-1743.4156094940472,0.9086058739656219,0.0045886935716502285,-0.48514380007902425,6828.489946795763,6031.620145688366,6700.0,8800.0,2517828735.350658,276700160.022043,0.10989633891183109,0.0024143327358091076,114607301602.65724
scam_0107_0676443598_669_ca0_scam02107_ad_ilidi_____________01p01.wav,False,100000,0.07083,0.07092,0.09000000000000001,-2318.1294531530766,0.8949420468473414,0.0034510583475476525,4.284353581809473,10338.5731173671,10830.744601512026,6400.0,16800.0,10948251074.836771,1784439619.3229678,0.162988554713025,0.04361494312035884,40913491836.93001
scam_0107_0676443644_665_ca0_scam02107_ad_ilidi_____________02p01.wav,True,100000,0.06948,0.07067,1.1900000000000002,-4735.234579552188,0.9723406384205028,0.001689462235840608,8.53145292021727,6784.535415606958,5311.096807143444,4200.0,9000.0,66561163071.83004,5056315846.679648,0.07596495633982661,0.06496343974831577,77833253076.94684
scam_0108_0676523575_279_ca0_scam01108_jih__________________01p01.wav,True,100000,0.07057,0.07057,0.0,-3439.8168913001614,0.9545057942126766,0.0023257051909458494,0.9919747088237657,14877.51000524874,13321.892890186515,7600.0,32400.0,3997062334.3973374,2314190216.417526,0.5789727611957423,0.05596227635006374,41352681973.50392
scam_0108_0676523622_180_ca0_scam01108_jih__________________02p01.wav,False,100000,,,,,,,,,,,,,,,,
scam_0109_0676611485_649_ca0_scam01109_haa_ii_aah___________01p01.wav,False,100000,0.07529,0.07534,0.05,-785.0205844376005,0.9584794995849926,0.010190815576805937,9.825087230687707,7478.663255735166,6087.7074297088275,4900.0,9100.0,5651756965.124378,548414352.5792668,0.09703431268601936,0.07961167510874698,6888617176.188675
scam_0109_0676611633_623_ca0_scam01109_haa_ii_aah___________02p01.wav,False,100000,0.07524,0.07536,0.12000000000000001,-8535.20145324181,0.6405987056632348,0.0009372948071379695,17.810172898314708,7159.3263319890775,5818.691270743382,6500.0,8700.0,9565344844.694544,745640423.9580581,0.07795227836157215,0.067050294928753,11120613634.14387
scam_0109_0676613675_828_ca0_scam02109_ba_ol_tai____________01p01.wav,False,100000,0.07173,0.07178,0.05,-2116.539081956694,0.8266277070863034,0.003779755388501579,13.16362870883161,11272.976690572463,11420.058118157924,5600.0,25100.0,18022208748.734013,3336312349.845807,0.1851222786485685,0.12563624782178817,26555332618.48349
scam_0109_0676613823_852_ca0_scam02109_ba_ol_tai____________02p01.wav,False,100000,0.07168,0.07173,0.05,-9813.978658195148,0.9768379707276315,0.0008151637861286372,16.99524864037682,8844.750331429104,8509.999430496855,6700.0,9900.0,31960073772.27101,3420756708.9854727,0.10703219064385787,0.08869714176193898,38566707348.549095
scam_0110_0676702998_588_ca0_scam03110_naakih_tsaadah_______01p01.wav,False,100000,,,,,,,,,,,,,,,,
scam_0110_0676703142_539_ca0_scam03110_naakih_tsaadah_______02p01.wav,True,100000,0.07651,0.07651,0.0,-4052.896560463472,0.9785829705981167,0.001973896910678903,-0.25750778698984056,7659.525076468709,2719.3597139949748,7700.0,9200.0,537979381084.6932,24747201138.325214,0.04600027809324035,0.03104105104131627,797241082635.5779
scam_0112_0676881366_146_ca0_scam02112_tseebii______________01p01.wav,True,100000,0.07165,0.07165,0.0,-2611.240494968654,0.9060837095876726,0.003063677978115928,13.479022233069749,6464.6789803717875,3079.225766924141,6600.0,8400.0,58008815563.94427,5395624199.39757,0.0930138660295497,0.05988362318342023,90101832730.98007
scam_0112_0676881514_104_ca0_scam02112_tseebii______________02p01.wav,True,100000,0.07155,0.07155,0.0,-1207.4928297157746,0.7449097222649024,0.006625298141010972,12.892969543799124,5310.904585541496,3496.469044293055,6000.0,7500.0,55948225342.917984,1964290168.649391,0.03510907015566373,0.015381366355606633,127705830758.87737
scam_0112_0676883855_357_ca0_scam04112_da_deest_lin_________01p01.wav,False,100000,0.06939,0.0695,0.11,-2452.323619423702,0.895646989838429,0.0032622121879167017,14.790324857602851,6455.474750728403,5569.626481241974,3900.0,9000.0,41303004369.633484,3080099706.0582643,0.07457326054282856,0.061189842274553485,50336781262.45408
scam_0112_0676884005_337_ca0_scam04112_da_deest_lin_________02p01.wav,False,100000,0.06929,0.0694,0.11,-1993.259165074153,0.7658691798669307,0.004013527262373021,13.303497748769537,6606.2278468997065,5565.342734964382,5500.0,8600.0,30009028675.408794,1749593126.1821663,0.05830222447739165,0.05347765586997001,32716339146.133698
scam_0113_0676966786_559_ca0_scam01113_mussih_______________01p01.wav,False,100000,,,,,,,,,,,,,,,,
scam_0113_0676966938_600_ca0_scam01113_mussih_______________02p01.wav,False,100000,,,,,,,,,,,,,,,,
scam_0127_0678209085_589_ca0_scam01127_kad__________________01p01.wav,False,100000,,,,,,,,,,,,,,,,
scam_0127_0678209236_599_ca0_scam01127_kad__________________02p01.wav,False,100000,0.0749,0.07504,0.13999999999999999,-1169.0535183087889,0.8893885558344498,0.006843142657466357,-5.808387075956665,6266.397438380261,3751.663647555917,4200.0,9300.0,581012366293.5883,79195939850.11018,0.13630680592105007,0.052564518136443576,1506642553909.4353
scam_0130_0678474080_623_ca0_scam01130_raton________________01p01.wav,False,100000,0.07419,0.07431,0.12000000000000001,-2874.0009403108234,0.9049885537027071,0.002783575985585725,3.708788748503875,4950.0697749880965,6262.119913969782,1000.0,8100.0,31454320500.320084,2425814838.6734343,0.0771218325523436,0.003122277243945624,776937680142.693
scam_0130_0678474243_649_ca0_scam01130_raton________________02p01.wav,False,100000,0.07412,0.07418,0.060000000000000005,-6046.567160927139,0.9511201255405896,0.0013230647716436404,17.393310635131016,6418.539587405589,6077.022097079597,4600.0,8100.0,11506116931.532265,980533426.5165112,0.08521844792219872,0.053188356487044224,18435114210.670383
scam_0131_0678564491_671_ca0_scam04131_cheval_blanc_________01p01.wav,False,100000,,,,,,,,,,,,,,,,
scam_0131_0678564646_684_ca0_scam04131_cheval_blanc_________02p01.wav,False,100000,,,,,,,,,,,,,,,,
scam_0133_0678742642_430_ca0_scam04133_pierrefeu____________01p01.wav,True,100000,0.07146,0.07187,0.41,-8428.048718372618,0.968936815091792,0.0009492114091083149,15.509880513503251,11078.997717518921,11396.284114068696,7700.0,15600.0,15903306021.170618,1961953084.8203728,0.1233676244554814,0.08228418045673835,23843624302.14502
scam_0133_0678742847_415_ca0_scam04133_pierrefeu____________02p01.wav,True,100000,0.0715,0.07192,0.42000000000000004,-6667.72608378288,0.8952716639878382,0.0011998093352181115,15.053120432281295,9896.416261614457,10332.001659714611,5700.0,11800.0,15022803651.340357,2176219552.8550396,0.1448610794204765,0.1105599455579103,19683616357.382843
scam_0145_0679808185_665_ca0_scam01145_mont_brune___________01p01.wav,False,100000,0.07337,0.07347,0.1,-3198.20871566682,0.8854567287940422,0.0025014002246979733,13.35528731473427,6436.055318404955,5296.866380632424,4200.0,8200.0,44114023013.74319,3496052453.8633165,0.07925036564391699,0.060747859064896347,57550216710.16451
scam_0145_0679808360_602_ca0_scam01145_mont_brune___________02p01.wav,False,100000,0.07324,0.07329,0.05,-3882.338179574096,0.8519506293476173,0.0020606138955359173,13.202070379341746,6355.76536124764,3753.3127409440735,4300.0,9200.0,31139882939.98003,3972540725.7031775,0.1275708304157718,0.10807314619061355,36757889130.90978
scam_0145_0679810656_933_ca0_scam02145_croix________________01p01.wav,False,100000,0.07385,0.07396,0.11,-3957.8315690285176,0.9569697711732085,0.002021308855738817,14.430299389885802,7686.211282061363,5440.743827387212,7500.0,9900.0,28064728982.864616,4341366541.761467,0.15469119778110668,0.07128446861406854,60901997674.492935
scam_0145_0679810838_055_ca0_scam02145_croix________________02p01.wav,False,100000,0.07397,0.07406,0.09000000000000001,-251.36908922237282,0.5585572937116642,0.031825711048039114,9.295305167489682,7578.249406869539,6761.41846463132,5100.0,9200.0,5976346928.370212,723567095.306125,0.12107180255404726,0.07807267000795262,9267866658.49165
scam_0147_0679984828_603_ca0_scam04147_pepin________________01p01.wav,False,100000,,,,,,,,,,,,,,,,
scam_0147_0679984877_591_ca0_scam04147_pepin________________02p01.wav,False,100000,0.06916,0.06921,0.05,-628.10348507945,0.8679835083671428,0.012736754675048595,7.255430312761431,8816.79859763985,7980.486615171083,2100.0,14000.0,12933694423.66393,5663688437.73902,0.4379018285275506,0.06846314763444528,82726088902.30891
scam_0148_0680099816_961_ca0_scam07148_gironde______________01p01.wav,False,100000,0.06999,0.07008,0.09000000000000001,-1009.096195430239,0.9070050878944736,0.007927886395993311,9.381380308672512,6716.136677308823,6170.748795008525,5500.0,9100.0,101127811988.77692,7531843116.902836,0.07447845423313137,0.024157010040407798,311787059089.85455
scam_0151_0680342162_854_ca0_scam01151_charamel_____________01p01.wav,False,100000,0.07535,0.0754,0.05,-1180.8861789000048,0.8527282377517625,0.00677457331870206,13.0084306536885,7188.03981600917,5690.034613476962,4600.0,8700.0,28781959643.74607,2174411075.385104,0.07554770774121261,0.040115971056059054,54203127037.52149
scam_0151_0680342349_851_ca0_scam01151_charamel_____________02p01.wav,True,100000,0.07527,0.07527,0.0,-8975.70644845013,0.9467226970657291,0.0008912947460956002,-2.557406341825758,7180.489354094936,6920.790225954827,7200.0,9400.0,11845522113.940176,1562504651.8931246,0.13190677767207246,0.004089175518377839,382107504280.7075
scam_0159_0681050219_854_ca0_scam01159_castillon____________01p01.wav,True,100000,0.07274,0.07274,0.0,-1490.9231695081771,0.946004434178129,0.005365802989458554,2.16954969581229,7388.674299722539,6361.434040264893,6600.0,10300.0,10093418406.288198,1625618131.9710813,0.16105724210920666,0.027495442671185148,59123184573.22773
scam_0159_0681050437_858_ca0_scam01159_castillon____________02p01.wav,True,100000,0.07266,0.07266,0.0,-2917.440932548058,0.8582550339326501,0.0027421292101406473,15.091123125699418,6077.0165660818,4396.750177950576,3900.0,8200.0,25230648473.535385,1829504145.9494724,0.07251118209936035,0.05681524600372369,32200936801.885292
scam_0159_0681062010_914_ca0_scam04159_grand_coyer__________01p01.wav,False,100000,0.07301,0.07311,0.1,-1817.525969371928,0.8246048270035095,0.004401587726839751,13.46160303073688,6494.3848598825225,5432.624107311399,4400.0,9100.0,22693082345.156387,2465721066.4955425,0.1086551852671449,0.0818285918210997,30132756920.54315
