File Name,Formation,Member,Onset (s),Slope (dB/s),R^2,Drop Time (s),C2 (dB),Spectral Centroid (Hz),Spectral Bandwidth (Hz),Peak Frequency (Hz),Rolloff 85% (Hz),Low Power 1-10 kHz,High Power 10-30 kHz,High/Low Ratio,High Frequency Fraction,Total FFT Power,Recovery Method
scam_0131_0678564491_671_ca0_scam04131_cheval_blanc_________01p01.wav,Maaz,Nataani,0.07911,-1206.731776,0.8700984829,0.006629476539,4.555248573,6780.460759,7215.135414,5000,9000,23537085884,2468077070,0.1048590757,0.0181998604,135609670418,wider 3p5 sigma
scam_0133_0678742642_430_ca0_scam04133_pierrefeu____________01p01.wav,Maaz,Cha'al,0.07146,-8428.048718,0.9689368151,0.0009492114091,15.50988051,11078.99772,11396.28411,7700,15600,15903306021,1961953085,0.1233676245,0.08228418046,23843624302,Original
scam_0133_0678742847_415_ca0_scam04133_pierrefeu____________02p01.wav,Maaz,Cha'al,0.07151,-6666.385772,0.8952466631,0.001200050563,15.06103386,9920.928404,10362.7023,5700,11900,14873398661,2158330120,0.1451134451,0.110615137,19512068405,wider 3 sigma
scam_0145_0679808185_665_ca0_scam01145_mont_brune___________01p01.wav,Maaz,Roubion,0.07337,-3198.208716,0.8854567288,0.002501400225,13.35528731,6436.055318,5296.866381,4200,8200,44114023014,3496052454,0.07925036564,0.06074785906,57550216710,
scam_0145_0679808360_602_ca0_scam01145_mont_brune___________02p01.wav,Maaz,Roubion,0.07324,-3882.33818,0.8519506293,0.002060613896,13.20207038,6355.765361,3753.312741,4300,9200,31139882940,3972540726,0.1275708304,0.1080731462,36757889131,
scam_0145_0679810656_933_ca0_scam02145_croix________________01p01.wav,Maaz,Roubion,0.07385,-3957.831569,0.9569697712,0.002021308856,14.43029939,7686.211282,5440.743827,7500,9900,28064728983,4341366542,0.1546911978,0.07128446861,60901997674,
scam_0145_0679810838_055_ca0_scam02145_croix________________02p01.wav,Maaz,Roubion,0.07397,-251.3690892,0.5585572937,0.03182571105,9.295305167,7578.249407,6761.418465,5100,9200,5976346928,723567095.3,0.1210718026,0.07807267001,9267866658,
scam_0147_0679984877_591_ca0_scam04147_pepin________________02p01.wav,Maaz,Rochette,0.06916,-628.1034851,0.8679835084,0.01273675468,7.255430313,8816.798598,7980.486615,2100,14000,12933694424,5663688438,0.4379018285,0.06846314763,82726088902,
scam_0148_0680099816_961_ca0_scam07148_gironde______________01p01.wav,Maaz,Roubion,0.06999,-1009.096195,0.9070050879,0.007927886396,9.381380309,6716.136677,6170.748795,5500,9100,101127811989,7531843117,0.07447845423,0.02415701004,311787059090,
scam_0151_0680342162_854_ca0_scam01151_charamel_____________01p01.wav,Maaz,Roubion,0.07535,-1180.886179,0.8527282378,0.006774573319,13.00843065,7188.039816,5690.034613,4600,8700,28781959644,2174411075,0.07554770774,0.04011597106,54203127038,
