File Name,Expected Time (s),Found,Flagged,Onset (s),Peak Time (s),Lag (ms),Forced Peak
scam_0183_0683186485_901_ca0_scam02183_sauzeries_basses_____02p01.wav,0.06,True,True,0.05662,0.06126,4.64,False
scam_0183_0683186485_901_ca0_scam02183_sauzeries_basses_____02p01.wav,0.065,True,False,0.06118,0.06126,0.08,False
scam_0183_0683186485_901_ca0_scam02183_sauzeries_basses_____02p01.wav,0.07,False,True,,,,
scam_0183_0683186485_901_ca0_scam02183_sauzeries_basses_____02p01.wav,0.073,False,True,,,,
scam_0183_0683186485_901_ca0_scam02183_sauzeries_basses_____02p01.wav,0.076,False,True,,,,
scam_0183_0683186485_901_ca0_scam02183_sauzeries_basses_____02p01.wav,0.08,True,True,0.08621,0.08621,0.0,True
scam_0183_0683186485_901_ca0_scam02183_sauzeries_basses_____02p01.wav,0.085,True,True,0.08621,0.08621,0.0,True
scam_0184_0683272998_853_ca0_scam03184_sauze________________02p01.wav,0.06,True,True,0.05254,0.05602,3.48,False
scam_0184_0683272998_853_ca0_scam03184_sauze________________02p01.wav,0.065,False,True,,,,
scam_0184_0683272998_853_ca0_scam03184_sauze________________02p01.wav,0.07,False,True,,,,
scam_0184_0683272998_853_ca0_scam03184_sauze________________02p01.wav,0.073,True,True,0.07485,0.0807,5.8500000000000005,False
scam_0184_0683272998_853_ca0_scam03184_sauze________________02p01.wav,0.076,True,True,0.07485,0.0807,5.8500000000000005,False
scam_0184_0683272998_853_ca0_scam03184_sauze________________02p01.wav,0.08,True,True,0.07439,0.07637,1.98,False
scam_0184_0683272998_853_ca0_scam03184_sauze________________02p01.wav,0.085,True,True,0.08067,0.08648,5.8100000000000005,False
scam_0211_0685666540_589_ca0_scam04211_penne________________02p01.wav,0.06,True,False,0.06084,0.06128,0.44,False
scam_0211_0685666540_589_ca0_scam04211_penne________________02p01.wav,0.065,True,True,0.05937,0.05937,0.0,True
scam_0211_0685666540_589_ca0_scam04211_penne________________02p01.wav,0.07,True,True,0.06884,0.06991,1.07,False
scam_0211_0685666540_589_ca0_scam04211_penne________________02p01.wav,0.073,True,True,0.06883,0.06991,1.08,False
scam_0211_0685666540_589_ca0_scam04211_penne________________02p01.wav,0.076,True,True,0.06879,0.06991,1.1199999999999999,False
scam_0211_0685666540_589_ca0_scam04211_penne________________02p01.wav,0.08,False,True,,,,
scam_0211_0685666540_589_ca0_scam04211_penne________________02p01.wav,0.085,True,True,0.08702,0.08702,0.0,True
scam_0213_0685844643_151_ca0_scam04213_moustiers_sainte_mar_01p01.wav,0.06,True,True,0.05419,0.05419,0.0,True
scam_0213_0685844643_151_ca0_scam04213_moustiers_sainte_mar_01p01.wav,0.065,False,True,,,,
scam_0213_0685844643_151_ca0_scam04213_moustiers_sainte_mar_01p01.wav,0.07,False,True,,,,
scam_0213_0685844643_151_ca0_scam04213_moustiers_sainte_mar_01p01.wav,0.073,False,True,,,,
scam_0213_0685844643_151_ca0_scam04213_moustiers_sainte_mar_01p01.wav,0.076,True,False,0.08297,0.0832,0.23,False
scam_0213_0685844643_151_ca0_scam04213_moustiers_sainte_mar_01p01.wav,0.08,True,False,0.08297,0.0832,0.23,False
scam_0213_0685844643_151_ca0_scam04213_moustiers_sainte_mar_01p01.wav,0.085,True,False,0.08297,0.0832,0.23,False
scam_0239_0688151857_681_ca0_scam01239_cheiron______________01p01.wav,0.06,True,False,0.05366,0.05424,0.58,False
scam_0239_0688151857_681_ca0_scam01239_cheiron______________01p01.wav,0.065,True,True,0.06915,0.07198,2.83,False
scam_0239_0688151857_681_ca0_scam01239_cheiron______________01p01.wav,0.07,True,True,0.06915,0.07198,2.83,False
scam_0239_0688151857_681_ca0_scam01239_cheiron______________01p01.wav,0.073,True,True,0.06915,0.07198,2.83,False
scam_0239_0688151857_681_ca0_scam01239_cheiron______________01p01.wav,0.076,True,True,0.06906,0.07198,2.92,False
scam_0239_0688151857_681_ca0_scam01239_cheiron______________01p01.wav,0.08,True,True,0.07228,0.07228,0.0,True
