Unit,ZIP,FITS,WAV,Status,Number of shots,Samples per shot,Total samples,Duration (s),Error
Delta,urn_nasa_pds_mars2020_supercam_data_calibrated_audio_scam_0472_0708832228_388_ca0_scam02472_austin_mountain______01p__2.0.zip,scam_0472_0708832228_388_ca0_scam02472_austin_mountain______01p02.fits,scam_0472_0708832228_388_ca0_scam02472_austin_mountain______01p02.wav,OK,29,6000,174000,1.74,
Delta,urn_nasa_pds_mars2020_supercam_data_calibrated_audio_scam_0473_0708921605_229_ca0_scam02473_snead_farm___________01p__2.0.zip,scam_0473_0708921605_229_ca0_scam02473_snead_farm___________01p02.fits,scam_0473_0708921605_229_ca0_scam02473_snead_farm___________01p02.wav,OK,29,6000,174000,1.74,
Delta,urn_nasa_pds_mars2020_supercam_data_calibrated_audio_scam_0473_0708931198_901_ca0_scam05473_elkwallow_gap_473_sc_01p__2.0.zip,scam_0473_0708931198_901_ca0_scam05473_elkwallow_gap_473_sc_01p02.fits,scam_0473_0708931198_901_ca0_scam05473_elkwallow_gap_473_sc_01p02.wav,OK,29,6000,174000,1.74,
Delta,urn_nasa_pds_mars2020_supercam_data_calibrated_audio_scam_0473_0708938254_591_ca0_scam08473_fox_hollow___________01p__2.0.zip,scam_0473_0708938254_591_ca0_scam08473_fox_hollow___________01p02.fits,scam_0473_0708938254_591_ca0_scam08473_fox_hollow___________01p02.wav,OK,29,6000,174000,1.74,
Delta,urn_nasa_pds_mars2020_supercam_data_calibrated_audio_scam_0476_0709196462_557_ca0_scam01476_fourway_476_scam_____01p__2.0.zip,scam_0476_0709196462_557_ca0_scam01476_fourway_476_scam_____01p02.fits,scam_0476_0709196462_557_ca0_scam01476_fourway_476_scam_____01p02.wav,OK,29,6000,174000,1.74,
Delta,urn_nasa_pds_mars2020_supercam_data_calibrated_audio_scam_0477_0709285254_248_ca0_scam04477_oventop_mountain_____01p__2.0.zip,scam_0477_0709285254_248_ca0_scam04477_oventop_mountain_____01p02.fits,scam_0477_0709285254_248_ca0_scam04477_oventop_mountain_____01p02.wav,OK,29,6000,174000,1.74,
Delta,urn_nasa_pds_mars2020_supercam_data_calibrated_audio_scam_0482_0709729164_771_ca0_scam01482_goat_hollow__________01p__2.0.zip,scam_0482_0709729164_771_ca0_scam01482_goat_hollow__________01p02.fits,scam_0482_0709729164_771_ca0_scam01482_goat_hollow__________01p02.wav,OK,29,6000,174000,1.74,
Delta,urn_nasa_pds_mars2020_supercam_data_calibrated_audio_scam_0482_0709743942_179_ca0_scam04482_otter_lake___________01p__2.0.zip,scam_0482_0709743942_179_ca0_scam04482_otter_lake___________01p02.fits,scam_0482_0709743942_179_ca0_scam04482_otter_lake___________01p02.wav,OK,29,6000,174000,1.74,
Delta,urn_nasa_pds_mars2020_supercam_data_calibrated_audio_scam_0488_0710264577_671_ca0_scam02488_short_mountain_______01p__2.0.zip,scam_0488_0710264577_671_ca0_scam02488_short_mountain_______01p02.fits,scam_0488_0710264577_671_ca0_scam02488_short_mountain_______01p02.wav,OK,29,6000,174000,1.74,
Delta,urn_nasa_pds_mars2020_supercam_data_calibrated_audio_scam_0489_0710352197_772_ca0_scam01489_shop_hollow_489______01p__2.0.zip,scam_0489_0710352197_772_ca0_scam01489_shop_hollow_489______01p02.fits,scam_0489_0710352197_772_ca0_scam01489_shop_hollow_489______01p02.wav,OK,29,6000,174000,1.74,
Delta,urn_nasa_pds_mars2020_supercam_data_calibrated_audio_scam_0489_0710354497_865_ca0_scam02489_sawlog_ridge_489_____01p__2.0.zip,scam_0489_0710354497_865_ca0_scam02489_sawlog_ridge_489_____01p02.fits,scam_0489_0710354497_865_ca0_scam02489_sawlog_ridge_489_____01p02.wav,OK,29,6000,174000,1.74,
Delta,urn_nasa_pds_mars2020_supercam_data_calibrated_audio_scam_0497_0711062133_153_ca0_scam04497_pollock_knob_________01p__2.0.zip,scam_0497_0711062133_153_ca0_scam04497_pollock_knob_________01p02.fits,scam_0497_0711062133_153_ca0_scam04497_pollock_knob_________01p02.wav,OK,29,6000,174000,1.74,
Delta,urn_nasa_pds_mars2020_supercam_data_calibrated_audio_scam_0501_0711414592_419_ca0_scam01501_pollock_knob_501_sca_01p__2.0.zip,scam_0501_0711414592_419_ca0_scam01501_pollock_knob_501_sca_01p02.fits,scam_0501_0711414592_419_ca0_scam01501_pollock_knob_501_sca_01p02.wav,OK,29,6000,174000,1.74,
Delta,urn_nasa_pds_mars2020_supercam_data_calibrated_audio_scam_0504_0711700522_280_ca0_scam04504_hightop______________01p__2.0.zip,scam_0504_0711700522_280_ca0_scam04504_hightop______________01p02.fits,scam_0504_0711700522_280_ca0_scam04504_hightop______________01p02.wav,OK,124,6000,744000,7.44,
Delta,urn_nasa_pds_mars2020_supercam_data_calibrated_audio_scam_0505_0711777950_028_ca0_scam01505_apple_orchard_mounta_01p__2.0.zip,scam_0505_0711777950_028_ca0_scam01505_apple_orchard_mounta_01p02.fits,scam_0505_0711777950_028_ca0_scam01505_apple_orchard_mounta_01p02.wav,OK,29,6000,174000,1.74,
Delta,urn_nasa_pds_mars2020_supercam_data_calibrated_audio_scam_0507_0711949334_805_ca0_scam07507_spitler_hill_________05p__2.0.zip,scam_0507_0711949371_709_ca0_scam07507_spitler_hill_________01p02.fits,scam_0507_0711949371_709_ca0_scam07507_spitler_hill_________01p02.wav,OK,9,6000,54000,0.54,
Delta,urn_nasa_pds_mars2020_supercam_data_calibrated_audio_scam_0511_0712312219_740_ca0_scam01511_bearwallow_511_scam__01p__2.0.zip,scam_0511_0712312219_740_ca0_scam01511_bearwallow_511_scam__01p02.fits,scam_0511_0712312219_740_ca0_scam01511_bearwallow_511_scam__01p02.wav,OK,124,6000,744000,7.44,
