Unit,ZIP,FITS,WAV,Status,Number of shots,Samples per shot,Total samples,Duration (s),Error
Delta,urn_nasa_pds_mars2020_supercam_data_calibrated_audio_scam_0561_0716743179_468_ca0_scam01561_walatka______________01p__2.0.zip,scam_0561_0716743179_468_ca0_scam01561_walatka______________01p02.fits,scam_0561_0716743179_468_ca0_scam01561_walatka______________01p02.wav,OK,29,6000,174000,1.74,
Delta,urn_nasa_pds_mars2020_supercam_data_calibrated_audio_scam_0561_0716747598_035_ca0_scam04561_becharof_____________01p__2.0.zip,scam_0561_0716747598_035_ca0_scam04561_becharof_____________01p02.fits,scam_0561_0716747598_035_ca0_scam04561_becharof_____________01p02.wav,OK,124,6000,744000,7.44,
Delta,urn_nasa_pds_mars2020_supercam_data_calibrated_audio_scam_0563_0716919971_591_ca0_scam01563_swikshak_____________01p__2.0.zip,scam_0563_0716919971_591_ca0_scam01563_swikshak_____________01p02.fits,scam_0563_0716919971_591_ca0_scam01563_swikshak_____________01p02.wav,OK,29,6000,174000,1.74,
Delta,urn_nasa_pds_mars2020_supercam_data_calibrated_audio_scam_0565_0717087207_245_ca0_scam01565_raspberry_island_____01p__2.0.zip,scam_0565_0717087207_245_ca0_scam01565_raspberry_island_____01p02.fits,scam_0565_0717087207_245_ca0_scam01565_raspberry_island_____01p02.wav,OK,29,6000,174000,1.74,
Delta,urn_nasa_pds_mars2020_supercam_data_calibrated_audio_scam_0565_0717097821_583_ca0_scam04565_chiniak_565_scam_____01p__2.0.zip,scam_0565_0717097821_583_ca0_scam04565_chiniak_565_scam_____01p02.fits,scam_0565_0717097821_583_ca0_scam04565_chiniak_565_scam_____01p02.wav,OK,29,6000,174000,1.74,
Delta,urn_nasa_pds_mars2020_supercam_data_calibrated_audio_scam_0566_0717186509_791_ca0_scam04566_kelez________________01p__2.0.zip,scam_0566_0717186509_791_ca0_scam04566_kelez________________01p02.fits,scam_0566_0717186509_791_ca0_scam04566_kelez________________01p02.wav,OK,29,6000,174000,1.74,
Delta,urn_nasa_pds_mars2020_supercam_data_calibrated_audio_scam_0567_0717275341_463_ca0_scam01567_novarupta_scam_______01p__2.0.zip,scam_0567_0717275341_463_ca0_scam01567_novarupta_scam_______01p02.fits,scam_0567_0717275341_463_ca0_scam01567_novarupta_scam_______01p02.wav,OK,29,6000,174000,1.74,
Delta,urn_nasa_pds_mars2020_supercam_data_calibrated_audio_scam_0582_0718608852_983_ca0_scam01582_bruin_bay____________01p__2.0.zip,scam_0582_0718608852_983_ca0_scam01582_bruin_bay____________01p02.fits,scam_0582_0718608852_983_ca0_scam01582_bruin_bay____________01p02.wav,OK,29,6000,174000,1.74,
Delta,urn_nasa_pds_mars2020_supercam_data_calibrated_audio_scam_0588_0719141924_952_ca0_scam03588_iliamna______________01p__2.0.zip,scam_0588_0719141924_952_ca0_scam03588_iliamna______________01p02.fits,scam_0588_0719141924_952_ca0_scam03588_iliamna______________01p02.wav,OK,29,6000,174000,1.74,
Delta,urn_nasa_pds_mars2020_supercam_data_calibrated_audio_scam_0593_0719582709_653_ca0_scam01593_knife_creek__________01p__2.0.zip,scam_0593_0719582709_653_ca0_scam01593_knife_creek__________01p02.fits,scam_0593_0719582709_653_ca0_scam01593_knife_creek__________01p02.wav,OK,29,6000,174000,1.74,
Delta,urn_nasa_pds_mars2020_supercam_data_calibrated_audio_scam_0604_0720557976_589_ca0_scam01604_kejulik______________01p__2.0.zip,scam_0604_0720557976_589_ca0_scam01604_kejulik______________01p02.fits,scam_0604_0720557976_589_ca0_scam01604_kejulik______________01p02.wav,OK,29,6000,174000,1.74,
Delta,urn_nasa_pds_mars2020_supercam_data_calibrated_audio_scam_0607_0720824559_854_ca0_scam01607_gibraltar_lake_scam__01p__2.0.zip,scam_0607_0720824559_854_ca0_scam01607_gibraltar_lake_scam__01p02.fits,scam_0607_0720824559_854_ca0_scam01607_gibraltar_lake_scam__01p02.wav,OK,29,6000,174000,1.74,
Delta,urn_nasa_pds_mars2020_supercam_data_calibrated_audio_scam_0607_0720827278_796_ca0_scam02607_mount_cerberus_scam__01p__2.0.zip,scam_0607_0720827278_796_ca0_scam02607_mount_cerberus_scam__01p02.fits,scam_0607_0720827278_796_ca0_scam02607_mount_cerberus_scam__01p02.wav,OK,29,6000,174000,1.74,
Delta,urn_nasa_pds_mars2020_supercam_data_calibrated_audio_scam_0608_0720913346_166_ca0_scam01608_moraine_creek_608____01p__2.0.zip,scam_0608_0720913346_166_ca0_scam01608_moraine_creek_608____01p02.fits,scam_0608_0720913346_166_ca0_scam01608_moraine_creek_608____01p02.wav,OK,29,6000,174000,1.74,
Delta,urn_nasa_pds_mars2020_supercam_data_calibrated_audio_scam_0608_0720916149_468_ca0_scam02608_mount_griggs_________01p__2.0.zip,scam_0608_0720916149_468_ca0_scam02608_mount_griggs_________01p02.fits,scam_0608_0720916149_468_ca0_scam02608_mount_griggs_________01p02.wav,OK,29,6000,174000,1.74,
Delta,urn_nasa_pds_mars2020_supercam_data_calibrated_audio_scam_0611_0721179351_588_ca0_scam01611_kupreanof_strait_____01p__2.0.zip,scam_0611_0721179351_588_ca0_scam01611_kupreanof_strait_____01p02.fits,scam_0611_0721179351_588_ca0_scam01611_kupreanof_strait_____01p02.wav,OK,29,6000,174000,1.74,
Delta,urn_nasa_pds_mars2020_supercam_data_calibrated_audio_scam_0620_0721976717_616_ca0_scam01620_kupreanof_strait_620_01p__2.0.zip,scam_0620_0721976717_616_ca0_scam01620_kupreanof_strait_620_01p02.fits,scam_0620_0721976717_616_ca0_scam01620_kupreanof_strait_620_01p02.wav,OK,29,6000,174000,1.74,
Delta,urn_nasa_pds_mars2020_supercam_data_calibrated_audio_scam_0622_0722177767_333_ca0_scam01622_hammersly_lake_______01p__2.0.zip,scam_0622_0722177767_333_ca0_scam01622_hammersly_lake_______01p02.fits,scam_0622_0722177767_333_ca0_scam01622_hammersly_lake_______01p02.wav,OK,124,6000,744000,7.44,
Delta,urn_nasa_pds_mars2020_supercam_data_calibrated_audio_scam_0632_0723044836_558_ca0_scam01632_mount_martin_________01p__2.0.zip,scam_0632_0723044836_558_ca0_scam01632_mount_martin_________01p02.fits,scam_0632_0723044836_558_ca0_scam01632_mount_martin_________01p02.wav,OK,29,6000,174000,1.74,
Delta,urn_nasa_pds_mars2020_supercam_data_calibrated_audio_scam_0642_0723934912_593_ca0_scam01642_twoheaded_island_____01p__2.0.zip,scam_0642_0723934912_593_ca0_scam01642_twoheaded_island_____01p02.fits,scam_0642_0723934912_593_ca0_scam01642_twoheaded_island_____01p02.wav,OK,29,6000,174000,1.74,
Delta,urn_nasa_pds_mars2020_supercam_data_calibrated_audio_scam_0643_0724021966_038_ca0_scam01643_levelock_____________01p__2.0.zip,scam_0643_0724021966_038_ca0_scam01643_levelock_____________01p02.fits,scam_0643_0724021966_038_ca0_scam01643_levelock_____________01p02.wav,OK,29,6000,174000,1.74,
Delta,urn_nasa_pds_mars2020_supercam_data_calibrated_audio_scam_0645_0724214436_953_ca0_scam15011_aegis_0645a__________01p__2.0.zip,scam_0645_0724214436_953_ca0_scam15011_aegis_0645a__________01p02.fits,scam_0645_0724214436_953_ca0_scam15011_aegis_0645a__________01p02.wav,OK,29,6000,174000,1.74,
Delta,urn_nasa_pds_mars2020_supercam_data_calibrated_audio_scam_0656_0725175157_396_ca0_scam01656_ban_island___________01p__2.0.zip,scam_0656_0725175157_396_ca0_scam01656_ban_island___________01p02.fits,scam_0656_0725175157_396_ca0_scam01656_ban_island___________01p02.wav,OK,29,6000,174000,1.74,
Delta,urn_nasa_pds_mars2020_supercam_data_calibrated_audio_scam_0657_0725264911_733_ca0_scam01657_dolgoi_island________01p__2.0.zip,scam_0657_0725264911_733_ca0_scam01657_dolgoi_island________01p02.fits,scam_0657_0725264911_733_ca0_scam01657_dolgoi_island________01p02.wav,OK,29,6000,174000,1.74,
Delta,urn_nasa_pds_mars2020_supercam_data_calibrated_audio_scam_0669_0726333000_865_ca0_scam02669_lake_clark___________01p__2.0.zip,scam_0669_0726333000_865_ca0_scam02669_lake_clark___________01p02.fits,scam_0669_0726333000_865_ca0_scam02669_lake_clark___________01p02.wav,OK,29,6000,174000,1.74,
Delta,urn_nasa_pds_mars2020_supercam_data_calibrated_audio_scam_0673_0726685505_155_ca0_scam01673_kubugakli____________01p__2.0.zip,scam_0673_0726685505_155_ca0_scam01673_kubugakli____________01p02.fits,scam_0673_0726685505_155_ca0_scam01673_kubugakli____________01p02.wav,OK,29,6000,174000,1.74,
Delta,urn_nasa_pds_mars2020_supercam_data_calibrated_audio_scam_0673_0726688194_151_ca0_scam02673_nondalton____________01p__2.0.zip,scam_0673_0726688194_151_ca0_scam02673_nondalton____________01p02.fits,scam_0673_0726688194_151_ca0_scam02673_nondalton____________01p02.wav,OK,29,6000,174000,1.74,
Delta,urn_nasa_pds_mars2020_supercam_data_calibrated_audio_scam_0676_0726946541_858_ca0_scam01676_unga_island__________01p__2.0.zip,scam_0676_0726946541_858_ca0_scam01676_unga_island__________01p02.fits,scam_0676_0726946541_858_ca0_scam01676_unga_island__________01p02.wav,OK,29,6000,174000,1.74,
Delta,urn_nasa_pds_mars2020_supercam_data_calibrated_audio_scam_0680_0727303084_576_ca0_scam01680_chignik______________01p__2.0.zip,scam_0680_0727303084_576_ca0_scam01680_chignik______________01p02.fits,scam_0680_0727303084_576_ca0_scam01680_chignik______________01p02.wav,OK,29,6000,174000,1.74,
Delta,urn_nasa_pds_mars2020_supercam_data_calibrated_audio_scam_0681_0727393932_667_ca0_scam01681_chignik______________01p__2.0.zip,scam_0681_0727393932_667_ca0_scam01681_chignik______________01p02.fits,scam_0681_0727393932_667_ca0_scam01681_chignik______________01p02.wav,OK,29,6000,174000,1.74,
Delta,urn_nasa_pds_mars2020_supercam_data_calibrated_audio_scam_0682_0727480556_607_ca0_scam01682_ikatan_bay___________01p__2.0.zip,scam_0682_0727480556_607_ca0_scam01682_ikatan_bay___________01p02.fits,scam_0682_0727480556_607_ca0_scam01682_ikatan_bay___________01p02.wav,OK,29,6000,174000,1.74,
Delta,urn_nasa_pds_mars2020_supercam_data_calibrated_audio_scam_0691_0728279185_537_ca0_scam01691_manokotak____________01p__2.0.zip,scam_0691_0728279185_537_ca0_scam01691_manokotak____________01p02.fits,scam_0691_0728279185_537_ca0_scam01691_manokotak____________01p02.wav,OK,29,6000,174000,1.74,
Delta,urn_nasa_pds_mars2020_supercam_data_calibrated_audio_scam_0691_0728281900_976_ca0_scam02691_ouzinkie_____________01p__2.0.zip,scam_0691_0728281900_976_ca0_scam02691_ouzinkie_____________01p02.fits,scam_0691_0728281900_976_ca0_scam02691_ouzinkie_____________01p02.wav,OK,29,6000,174000,1.74,
Delta,urn_nasa_pds_mars2020_supercam_data_calibrated_audio_scam_0695_0728634272_026_ca0_scam01695_ugak_island__________01p__2.0.zip,scam_0695_0728634272_026_ca0_scam01695_ugak_island__________01p02.fits,scam_0695_0728634272_026_ca0_scam01695_ugak_island__________01p02.wav,OK,29,6000,174000,1.74,
Delta,urn_nasa_pds_mars2020_supercam_data_calibrated_audio_scam_0697_0728812707_807_ca0_scam01697_abbott_ridge_________01p__2.0.zip,scam_0697_0728812707_807_ca0_scam01697_abbott_ridge_________01p02.fits,scam_0697_0728812707_807_ca0_scam01697_abbott_ridge_________01p02.wav,OK,124,6000,744000,7.44,
Delta,urn_nasa_pds_mars2020_supercam_data_calibrated_audio_scam_0701_0729173186_338_ca0_scam06701_aegis_0701a__________01p__2.0.zip,scam_0701_0729173186_338_ca0_scam06701_aegis_0701a__________01p02.fits,scam_0701_0729173186_338_ca0_scam06701_aegis_0701a__________01p02.wav,OK,29,6000,174000,1.74,
Delta,urn_nasa_pds_mars2020_supercam_data_calibrated_audio_scam_0702_0729255014_836_ca0_scam01702_neighbor_mountain____01p__2.0.zip,scam_0702_0729255014_836_ca0_scam01702_neighbor_mountain____01p02.fits,scam_0702_0729255014_836_ca0_scam01702_neighbor_mountain____01p02.wav,OK,29,6000,174000,1.74,
Delta,urn_nasa_pds_mars2020_supercam_data_calibrated_audio_scam_0702_0729258381_398_ca0_scam03702_dean_mountain________01p__2.0.zip,scam_0702_0729258381_398_ca0_scam03702_dean_mountain________01p02.fits,scam_0702_0729258381_398_ca0_scam03702_dean_mountain________01p02.wav,OK,29,6000,174000,1.74,
Delta,urn_nasa_pds_mars2020_supercam_data_calibrated_audio_scam_0703_0729348823_160_ca0_scam02703_aegis_0703a__________01p__2.0.zip,scam_0703_0729348823_160_ca0_scam02703_aegis_0703a__________01p02.fits,scam_0703_0729348823_160_ca0_scam02703_aegis_0703a__________01p02.wav,OK,29,6000,174000,1.74,
Delta,urn_nasa_pds_mars2020_supercam_data_calibrated_audio_scam_0704_0729440506_822_ca0_scam01704_trayfoot_mountain____01p__2.0.zip,scam_0704_0729440506_822_ca0_scam01704_trayfoot_mountain____01p02.fits,scam_0704_0729440506_822_ca0_scam01704_trayfoot_mountain____01p02.wav,OK,29,6000,174000,1.74,
Delta,urn_nasa_pds_mars2020_supercam_data_radcal_rmi_scam_0613_0721361671_354_ci__scam03613_gorge_creek__________01p__1.0.zip,,,ZIP ERROR,,,,,No file ending in 01p02.fits found
Delta,urn_nasa_pds_mars2020_supercam_data_radcal_rmi_scam_0669_0726331336_302_ci__scam01669_frazer_lake_scam_____01p__1.0.zip,,,ZIP ERROR,,,,,No file ending in 01p02.fits found
Upper Fan,urn_nasa_pds_mars2020_supercam_data_calibrated_audio_scam_0706_0729612102_778_ca0_scam02706_the_peak_____________01p__2.0.zip,scam_0706_0729612102_778_ca0_scam02706_the_peak_____________01p02.fits,scam_0706_0729612102_778_ca0_scam02706_the_peak_____________01p02.wav,OK,29,6000,174000,1.74,
Upper Fan,urn_nasa_pds_mars2020_supercam_data_calibrated_audio_scam_0707_0729698581_651_ca0_scam01707_nicholson_hollow_707_01p__2.0.zip,scam_0707_0729698581_651_ca0_scam01707_nicholson_hollow_707_01p02.fits,scam_0707_0729698581_651_ca0_scam01707_nicholson_hollow_707_01p02.wav,OK,29,6000,174000,1.74,
Upper Fan,urn_nasa_pds_mars2020_supercam_data_calibrated_audio_scam_0709_0729895267_171_ca0_scam02709_aegis_0709a__________01p__2.0.zip,scam_0709_0729895267_171_ca0_scam02709_aegis_0709a__________01p02.fits,scam_0709_0729895267_171_ca0_scam02709_aegis_0709a__________01p02.wav,OK,29,6000,174000,1.74,
Upper Fan,urn_nasa_pds_mars2020_supercam_data_calibrated_audio_scam_0711_0730057751_650_ca0_scam01711_lydia_scam___________01p__2.0.zip,scam_0711_0730057751_650_ca0_scam01711_lydia_scam___________01p02.fits,scam_0711_0730057751_650_ca0_scam01711_lydia_scam___________01p02.wav,OK,29,6000,174000,1.74,
Upper Fan,urn_nasa_pds_mars2020_supercam_data_calibrated_audio_scam_0715_0730426950_232_ca0_scam02715_aegis_0715a__________01p__2.0.zip,scam_0715_0730426950_232_ca0_scam02715_aegis_0715a__________01p02.fits,scam_0715_0730426950_232_ca0_scam02715_aegis_0715a__________01p02.wav,OK,29,6000,174000,1.74,
Upper Fan,urn_nasa_pds_mars2020_supercam_data_calibrated_audio_scam_0717_0730586200_716_ca0_scam01717_morningstar__________01p__2.0.zip,scam_0717_0730586200_716_ca0_scam01717_morningstar__________01p02.fits,scam_0717_0730586200_716_ca0_scam01717_morningstar__________01p02.wav,OK,29,6000,174000,1.74,
Upper Fan,urn_nasa_pds_mars2020_supercam_data_calibrated_audio_scam_0724_0731210509_241_ca0_scam02724_amroth_______________01p__2.0.zip,scam_0724_0731210509_241_ca0_scam02724_amroth_______________01p02.fits,scam_0724_0731210509_241_ca0_scam02724_amroth_______________01p02.wav,OK,29,6000,174000,1.74,
Upper Fan,urn_nasa_pds_mars2020_supercam_data_calibrated_audio_scam_0724_0731213478_499_ca0_scam03724_blaenffos____________01p__2.0.zip,scam_0724_0731213478_499_ca0_scam03724_blaenffos____________01p02.fits,scam_0724_0731213478_499_ca0_scam03724_blaenffos____________01p02.wav,OK,29,6000,174000,1.74,
Upper Fan,urn_nasa_pds_mars2020_supercam_data_calibrated_audio_scam_0728_0731562419_624_ca0_scam01728_stack_rocks_scam_____01p__2.0.zip,scam_0728_0731562419_624_ca0_scam01728_stack_rocks_scam_____01p02.fits,scam_0728_0731562419_624_ca0_scam01728_stack_rocks_scam_____01p02.wav,OK,29,6000,174000,1.74,
Upper Fan,urn_nasa_pds_mars2020_supercam_data_calibrated_audio_scam_0728_0731565252_873_ca0_scam02728_ramsey_island_scam___01p__2.0.zip,scam_0728_0731565252_873_ca0_scam02728_ramsey_island_scam___01p02.fits,scam_0728_0731565252_873_ca0_scam02728_ramsey_island_scam___01p02.wav,OK,29,6000,174000,1.74,
Upper Fan,urn_nasa_pds_mars2020_supercam_data_calibrated_audio_scam_0729_0731658812_779_ca0_scam02729_green_scar___________01p__2.0.zip,scam_0729_0731658812_779_ca0_scam02729_green_scar___________01p02.fits,scam_0729_0731658812_779_ca0_scam02729_green_scar___________01p02.wav,OK,29,6000,174000,1.74,
Upper Fan,urn_nasa_pds_mars2020_supercam_data_calibrated_audio_scam_0730_0731753911_545_ca0_scam03730_aegis_0730a__________01p__2.0.zip,scam_0730_0731753911_545_ca0_scam03730_aegis_0730a__________01p02.fits,scam_0730_0731753911_545_ca0_scam03730_aegis_0730a__________01p02.wav,OK,29,6000,174000,1.74,
Upper Fan,urn_nasa_pds_mars2020_supercam_data_calibrated_audio_scam_0733_0732013189_086_ca0_scam02733_aegis_0733a__________01p__2.0.zip,scam_0733_0732013189_086_ca0_scam02733_aegis_0733a__________01p02.fits,scam_0733_0732013189_086_ca0_scam02733_aegis_0733a__________01p02.wav,OK,29,6000,174000,1.74,
Upper Fan,urn_nasa_pds_mars2020_supercam_data_calibrated_audio_scam_0737_0732363077_202_ca0_scam01737_aegis_0736a__________01p__2.0.zip,scam_0737_0732363077_202_ca0_scam01737_aegis_0736a__________01p02.fits,scam_0737_0732363077_202_ca0_scam01737_aegis_0736a__________01p02.wav,OK,29,6000,174000,1.74,
Upper Fan,urn_nasa_pds_mars2020_supercam_data_calibrated_audio_scam_0738_0732450285_961_ca0_scam01738_penclegyr____________01p__2.0.zip,scam_0738_0732450285_961_ca0_scam01738_penclegyr____________01p02.fits,scam_0738_0732450285_961_ca0_scam01738_penclegyr____________01p02.wav,OK,29,6000,174000,1.74,
Upper Fan,urn_nasa_pds_mars2020_supercam_data_calibrated_audio_scam_0738_0732454628_624_ca0_scam04738_new_inn______________01p__2.0.zip,scam_0738_0732454628_624_ca0_scam04738_new_inn______________01p02.fits,scam_0738_0732454628_624_ca0_scam04738_new_inn______________01p02.wav,OK,29,6000,174000,1.74,
Upper Fan,urn_nasa_pds_mars2020_supercam_data_calibrated_audio_scam_0739_0732537655_271_ca0_scam01739_castlebythe__________01p__2.0.zip,scam_0739_0732537655_271_ca0_scam01739_castlebythe__________01p02.fits,scam_0739_0732537655_271_ca0_scam01739_castlebythe__________01p02.wav,OK,29,6000,174000,1.74,
Upper Fan,urn_nasa_pds_mars2020_supercam_data_calibrated_audio_scam_0739_0732542034_806_ca0_scam04739_glyn_gath____________01p__2.0.zip,scam_0739_0732542034_806_ca0_scam04739_glyn_gath____________01p02.fits,scam_0739_0732542034_806_ca0_scam04739_glyn_gath____________01p02.wav,OK,29,6000,174000,1.74,
Upper Fan,urn_nasa_pds_mars2020_supercam_data_calibrated_audio_scam_0741_0732716997_368_ca0_scam01741_porthgain____________01p__2.0.zip,scam_0741_0732716997_368_ca0_scam01741_porthgain____________01p02.fits,scam_0741_0732716997_368_ca0_scam01741_porthgain____________01p02.wav,OK,29,6000,174000,1.74,
Upper Fan,urn_nasa_pds_mars2020_supercam_data_calibrated_audio_scam_0741_0732719833_645_ca0_scam02741_cardigan_bay_________01p__2.0.zip,scam_0741_0732719833_645_ca0_scam02741_cardigan_bay_________01p02.fits,scam_0741_0732719833_645_ca0_scam02741_cardigan_bay_________01p02.wav,OK,29,6000,174000,1.74,
Upper Fan,urn_nasa_pds_mars2020_supercam_data_calibrated_audio_scam_0742_0732806716_115_ca0_scam02742_dinas_mawr___________01p__2.0.zip,scam_0742_0732806716_115_ca0_scam02742_dinas_mawr___________01p02.fits,scam_0742_0732806716_115_ca0_scam02742_dinas_mawr___________01p02.wav,OK,29,6000,174000,1.74,
Upper Fan,urn_nasa_pds_mars2020_supercam_data_calibrated_audio_scam_0745_0733062907_374_ca0_scam01745_melyn_scam___________01p__2.0.zip,scam_0745_0733062907_374_ca0_scam01745_melyn_scam___________01p02.fits,scam_0745_0733062907_374_ca0_scam01745_melyn_scam___________01p02.wav,OK,124,6000,744000,7.44,
Upper Fan,urn_nasa_pds_mars2020_supercam_data_calibrated_audio_scam_0745_0733070243_653_ca0_scam04745_crymych______________01p__2.0.zip,scam_0745_0733070243_653_ca0_scam04745_crymych______________01p02.fits,scam_0745_0733070243_653_ca0_scam04745_crymych______________01p02.wav,OK,29,6000,174000,1.74,
Upper Fan,urn_nasa_pds_mars2020_supercam_data_calibrated_audio_scam_0754_0733873409_990_ca0_scam02754_whitchurch___________01p__2.0.zip,scam_0754_0733873409_990_ca0_scam02754_whitchurch___________01p02.fits,scam_0754_0733873409_990_ca0_scam02754_whitchurch___________01p02.wav,OK,29,6000,174000,1.74,
Upper Fan,urn_nasa_pds_mars2020_supercam_data_calibrated_audio_scam_0755_0733974135_460_ca0_scam02755_aegis_0755a__________01p__2.0.zip,scam_0755_0733974135_460_ca0_scam02755_aegis_0755a__________01p02.fits,scam_0755_0733974135_460_ca0_scam02755_aegis_0755a__________01p02.wav,OK,29,6000,174000,1.74,
Upper Fan,urn_nasa_pds_mars2020_supercam_data_calibrated_audio_scam_0755_0733977311_695_ca0_scam03755_aegis_0755b__________01p__2.0.zip,scam_0755_0733977311_695_ca0_scam03755_aegis_0755b__________01p02.fits,scam_0755_0733977311_695_ca0_scam03755_aegis_0755b__________01p02.wav,OK,29,6000,174000,1.74,
Upper Fan,urn_nasa_pds_mars2020_supercam_data_calibrated_audio_scam_0756_0734052120_788_ca0_scam02756_waun_mawn____________01p__2.0.zip,scam_0756_0734052120_788_ca0_scam02756_waun_mawn____________01p02.fits,scam_0756_0734052120_788_ca0_scam02756_waun_mawn____________01p02.wav,OK,29,6000,174000,1.74,
Upper Fan,urn_nasa_pds_mars2020_supercam_data_calibrated_audio_scam_0756_0734054744_888_ca0_scam03756_banc_du______________01p__2.0.zip,scam_0756_0734054744_888_ca0_scam03756_banc_du______________01p02.fits,scam_0756_0734054744_888_ca0_scam03756_banc_du______________01p02.wav,OK,29,6000,174000,1.74,
Upper Fan,urn_nasa_pds_mars2020_supercam_data_calibrated_audio_scam_0756_0734064553_357_ca0_scam06756_carn_goedog__________01p__2.0.zip,scam_0756_0734064553_357_ca0_scam06756_carn_goedog__________01p02.fits,scam_0756_0734064553_357_ca0_scam06756_carn_goedog__________01p02.wav,OK,29,6000,174000,1.74,
Upper Fan,urn_nasa_pds_mars2020_supercam_data_calibrated_audio_scam_0756_0734065357_462_ca0_scam07756_frenni_fawr__________01p__2.0.zip,scam_0756_0734065357_462_ca0_scam07756_frenni_fawr__________01p02.fits,scam_0756_0734065357_462_ca0_scam07756_frenni_fawr__________01p02.wav,OK,29,6000,174000,1.74,
Upper Fan,urn_nasa_pds_mars2020_supercam_data_calibrated_audio_scam_0757_0734137704_661_ca0_scam01757_frenni_fach__________01p__2.0.zip,scam_0757_0734137704_661_ca0_scam01757_frenni_fach__________01p02.fits,scam_0757_0734137704_661_ca0_scam01757_frenni_fach__________01p02.wav,OK,29,6000,174000,1.74,
Upper Fan,urn_nasa_pds_mars2020_supercam_data_calibrated_audio_scam_0757_0734139259_744_ca0_scam02757_church_doors_cove____01p__2.0.zip,scam_0757_0734139259_744_ca0_scam02757_church_doors_cove____01p02.fits,scam_0757_0734139259_744_ca0_scam02757_church_doors_cove____01p02.wav,OK,29,6000,174000,1.74,
Upper Fan,urn_nasa_pds_mars2020_supercam_data_calibrated_audio_scam_0757_0734140812_773_ca0_scam03757_puncheston___________01p__2.0.zip,scam_0757_0734140812_773_ca0_scam03757_puncheston___________01p02.fits,scam_0757_0734140812_773_ca0_scam03757_puncheston___________01p02.wav,OK,29,6000,174000,1.74,
Upper Fan,urn_nasa_pds_mars2020_supercam_data_calibrated_audio_scam_0757_0734142505_843_ca0_scam04757_tidal_mill___________01p__2.0.zip,scam_0757_0734142505_843_ca0_scam04757_tidal_mill___________01p02.fits,scam_0757_0734142505_843_ca0_scam04757_tidal_mill___________01p02.wav,OK,29,6000,174000,1.74,
Upper Fan,urn_nasa_pds_mars2020_supercam_data_calibrated_audio_scam_0758_0734227300_921_ca0_scam01758_gors_fawr____________01p__2.0.zip,scam_0758_0734227300_921_ca0_scam01758_gors_fawr____________01p02.fits,scam_0758_0734227300_921_ca0_scam01758_gors_fawr____________01p02.wav,OK,29,6000,174000,1.74,
Upper Fan,urn_nasa_pds_mars2020_supercam_data_calibrated_audio_scam_0758_0734230564_474_ca0_scam02758_tre_fach_____________01p__2.0.zip,scam_0758_0734230564_474_ca0_scam02758_tre_fach_____________01p02.fits,scam_0758_0734230564_474_ca0_scam02758_tre_fach_____________01p02.wav,OK,29,6000,174000,1.74,
Upper Fan,urn_nasa_pds_mars2020_supercam_data_calibrated_audio_scam_0760_0734408380_788_ca0_scam05760_aegis_0760a__________01p__2.0.zip,scam_0760_0734408380_788_ca0_scam05760_aegis_0760a__________01p02.fits,scam_0760_0734408380_788_ca0_scam05760_aegis_0760a__________01p02.wav,OK,29,6000,174000,1.74,
Upper Fan,urn_nasa_pds_mars2020_supercam_data_calibrated_audio_scam_0761_0734493614_577_ca0_scam01761_st_davids____________01p__2.0.zip,scam_0761_0734493614_577_ca0_scam01761_st_davids____________01p02.fits,scam_0761_0734493614_577_ca0_scam01761_st_davids____________01p02.wav,OK,29,6000,174000,1.74,
Upper Fan,urn_nasa_pds_mars2020_supercam_data_calibrated_audio_scam_0761_0734496292_709_ca0_scam02761_mynydd_bach__________01p__2.0.zip,scam_0761_0734496292_709_ca0_scam02761_mynydd_bach__________01p02.fits,scam_0761_0734496292_709_ca0_scam02761_mynydd_bach__________01p02.wav,OK,29,6000,174000,1.74,
Upper Fan,urn_nasa_pds_mars2020_supercam_data_calibrated_audio_scam_0764_0734758885_679_ca0_scam01764_rabbit_island________01p__2.0.zip,scam_0764_0734758885_679_ca0_scam01764_rabbit_island________01p02.fits,scam_0764_0734758885_679_ca0_scam01764_rabbit_island________01p02.wav,OK,29,6000,174000,1.74,
Upper Fan,urn_nasa_pds_mars2020_supercam_data_calibrated_audio_scam_0765_0734847769_492_ca0_scam01765_blueberry_island_____01p__2.0.zip,scam_0765_0734847769_492_ca0_scam01765_blueberry_island_____01p02.fits,scam_0765_0734847769_492_ca0_scam01765_blueberry_island_____01p02.wav,OK,29,6000,174000,1.74,
Upper Fan,urn_nasa_pds_mars2020_supercam_data_calibrated_audio_scam_0767_0735026355_616_ca0_scam02767_aegis_0767a__________01p__2.0.zip,scam_0767_0735026355_616_ca0_scam02767_aegis_0767a__________01p02.fits,scam_0767_0735026355_616_ca0_scam02767_aegis_0767a__________01p02.wav,OK,29,6000,174000,1.74,
Upper Fan,urn_nasa_pds_mars2020_supercam_data_calibrated_audio_scam_0769_0735205292_084_ca0_scam02769_aegis_0769a__________01p__2.0.zip,scam_0769_0735205292_084_ca0_scam02769_aegis_0769a__________01p02.fits,scam_0769_0735205292_084_ca0_scam02769_aegis_0769a__________01p02.wav,OK,29,6000,174000,1.74,
