Unit,File Name,Path,Status,Flagged,Sample Rate (Hz),Samples,Duration (s),Number of Shots,Observation Type,Search Start (s),Search End (s),Onset Sample,Onset (s),Onset Within Shot1 (ms),Peak Sample,Peak Time (s),Peak-Onset Lag (ms),Response Stop (s),Response Duration (ms),Slope (dB/s),Decay Rate (-Slope) (dB/s),R^2,Drop Time (s),C2 (dB),Spectral Centroid (Hz),Spectral Bandwidth (Hz),Peak Frequency (Hz),Rolloff 85% (Hz),Low Power 1-10 kHz,High Power 10-30 kHz,High/Low Ratio,High Frequency Fraction,Total FFT Power
Delta,scam_0511_0712312219_740_ca0_scam01511_bearwallow_511_scam__01p02.wav,C:\Users\cmkua\Downloads\Concatenated Multishot WAVs\Delta\scam_0511_0712312219_740_ca0_scam01511_bearwallow_511_scam__01p02.wav,LONG PEAK-ONSET LAG,True,100000,744000,7.44,124,124-shot,0.06899999999999999,0.079,6899.0,0.06899,8.989999999999998,6953.0,0.06953,0.54,0.07898999999999999,9.999999999999995,-8291.766675734247,8291.766675734247,0.8969309867510649,0.0009648124836184672,16.479218767281488,6135.244153900343,2738.3722757883775,6800.0,8700.0,12.659897288007851,1.0260944877170115,0.08105077508717108,0.0749738213287751,13.68603693304338
Delta,scam_0517_0712836568_577_ca0_scam01517_mill_prong_517_______01p02.wav,C:\Users\cmkua\Downloads\Concatenated Multishot WAVs\Delta\scam_0517_0712836568_577_ca0_scam01517_mill_prong_517_______01p02.wav,LONG PEAK-ONSET LAG,True,100000,174000,1.74,29,29-shot,0.06899999999999999,0.079,7410.0,0.0741,14.100000000000001,7513.0,0.07513,1.03,0.0841,9.999999999999995,-7987.211288609928,7987.211288609928,0.9907484617004166,0.0010016011485020197,13.62714090358049,6745.214370415884,2914.055155294727,7500.0,9200.0,0.873237107553203,0.10957569722711176,0.1254821815052514,0.11149006266472054,0.9828292729248366
Delta,scam_0523_0713369148_542_ca0_scam01523_patterson_ridge______01p02.wav,C:\Users\cmkua\Downloads\Concatenated Multishot WAVs\Delta\scam_0523_0713369148_542_ca0_scam01523_patterson_ridge______01p02.wav,LONG PEAK-ONSET LAG,True,100000,174000,1.74,29,29-shot,0.06899999999999999,0.079,7434.0,0.07434,14.340000000000005,7490.0,0.0749,0.5599999999999999,0.08434,9.999999999999995,-41426.61027610994,41426.61027610994,0.9678197652275061,0.00019311258987109238,21.292469125901277,6846.91308345046,2685.3978287203327,5000.0,9300.0,1.7695091556539049,0.17672962289142533,0.09987494120996318,0.09080520639760105,1.9462498892144393
Delta,scam_0531_0714070745_902_ca0_scam02531_hogback_mountain_531_01p02.wav,C:\Users\cmkua\Downloads\Concatenated Multishot WAVs\Delta\scam_0531_0714070745_902_ca0_scam02531_hogback_mountain_531_01p02.wav,LONG PEAK-ONSET LAG,True,100000,744000,7.44,124,124-shot,0.06899999999999999,0.079,7159.0,0.07159,11.590000000000003,7209.0,0.07209,0.5,0.08159,9.999999999999995,-5232.215422330848,5232.215422330848,0.9140055358056713,0.001528989033183989,15.76801889844933,5928.25368783238,2294.2722927234886,4600.0,7800.0,10.74886282424745,0.43234307133780653,0.040222214982827804,0.03866614489366598,11.181437211461699
Delta,scam_0532_0714157416_056_ca0_scam02532_upper_pocosin________01p02.wav,C:\Users\cmkua\Downloads\Concatenated Multishot WAVs\Delta\scam_0532_0714157416_056_ca0_scam02532_upper_pocosin________01p02.wav,NO CLEAN ONSET BEFORE PEAK,True,100000,174000,1.74,29,29-shot,0.06899999999999999,0.079,6979.0,0.06979,9.790000000000006,6979.0,0.06979,0.0,0.07979,9.999999999999995,-3200.8604210400026,3200.8604210400026,0.970095641919895,0.002499327976757166,-4.881541311566701,8449.284172467924,4685.14005326661,7600.0,13200.0,0.10914233933167024,0.04328653951926522,0.39660630131559405,0.2839613519435368,0.15243813717252752
Delta,scam_0533_0714247728_852_ca0_scam01533_corbin_mountain_533__01p02.wav,C:\Users\cmkua\Downloads\Concatenated Multishot WAVs\Delta\scam_0533_0714247728_852_ca0_scam01533_corbin_mountain_533__01p02.wav,LONG PEAK-ONSET LAG,True,100000,174000,1.74,29,29-shot,0.06899999999999999,0.079,7635.0,0.07635,16.350000000000005,7834.0,0.07834,1.99,0.08635,9.999999999999995,-7773.035050878172,7773.035050878172,0.9506019171420688,0.0010291990126940424,-1.6705475820365387,5653.15560608225,2324.743357466564,3300.0,8000.0,8.682949235398826,0.4049616113379251,0.046638716910490416,0.044560450534454975,9.087915550243398
Delta,scam_0538_0714691742_619_ca0_scam15011_aegis_0538a__________01p02.wav,C:\Users\cmkua\Downloads\Concatenated Multishot WAVs\Delta\scam_0538_0714691742_619_ca0_scam15011_aegis_0538a__________01p02.wav,LONG PEAK-ONSET LAG,True,100000,174000,1.74,29,29-shot,0.06899999999999999,0.079,7501.0,0.07501,15.009999999999996,7556.0,0.07556,0.55,0.08500999999999999,9.999999999999995,-6043.92598288065,6043.92598288065,0.8696218375146353,0.0013236429470943072,15.915020928321535,5913.457453489313,2115.299934361526,4200.0,7900.0,2.7628581367948746,0.07382298901504655,0.026719789927646023,0.02602439793242071,2.83668383824854
Delta,scam_0544_0715236424_245_ca0_scam15012_aegis_0544a__________01p02.wav,C:\Users\cmkua\Downloads\Concatenated Multishot WAVs\Delta\scam_0544_0715236424_245_ca0_scam15012_aegis_0544a__________01p02.wav,LONG PEAK-ONSET LAG,True,100000,174000,1.74,29,29-shot,0.06899999999999999,0.079,7215.0,0.07215,12.150000000000007,7269.0,0.07269,0.54,0.08215,9.999999999999995,-3655.4878484692426,3655.4878484692426,0.9493403910688327,0.0021884903825764453,13.620037231513153,6180.845191525376,2375.8153759642287,4800.0,8300.0,2.6170445793718073,0.17274815412400507,0.06600886950327432,0.061921354548761375,2.7897993411621935
Delta,scam_0556_0716301226_744_ca0_scam04556_alagogshak___________01p02.wav,C:\Users\cmkua\Downloads\Concatenated Multishot WAVs\Delta\scam_0556_0716301226_744_ca0_scam04556_alagogshak___________01p02.wav,NO CLEAN ONSET BEFORE PEAK,True,100000,174000,1.74,29,29-shot,0.06899999999999999,0.079,7037.0,0.07037,10.370000000000005,7037.0,0.07037,0.0,0.08037,9.999999999999995,-3328.9898536810356,3328.9898536810356,0.7981625592932015,0.002403131385682653,-3.8512980182752425,8372.067503768318,5073.950470074197,3800.0,14500.0,0.05085461119001255,0.019356498212960142,0.3806242494045773,0.2756818235798591,0.07021318257985544
Delta,scam_0557_0716380241_716_ca0_scam15011_aegis_0557a__________01p02.wav,C:\Users\cmkua\Downloads\Concatenated Multishot WAVs\Delta\scam_0557_0716380241_716_ca0_scam15011_aegis_0557a__________01p02.wav,LONG PEAK-ONSET LAG,True,100000,174000,1.74,29,29-shot,0.06899999999999999,0.079,7509.0,0.07509,15.090000000000007,7578.0,0.07578,0.69,0.08509,9.999999999999995,-2344.464544509458,2344.464544509458,0.9614417953369956,0.003412293019630149,11.336148012752208,5738.020894819416,2182.9871344439603,3600.0,7600.0,2.4570440618808562,0.07566091020715382,0.030793469022788192,0.02987308102360739,2.5327454555946978
