File Name,Setting,Found,Flagged,Onset (s),Peak Time (s),Peak-Onset Lag (ms),Forced Peak,Truncated
scam_0279_0691717551_834_ca0_scam02279_rent_________________01p01.wav,wider_3sigma,True,True,0.06953,0.06953,0.0,True,False
scam_0279_0691717551_834_ca0_scam02279_rent_________________01p01.wav,very_wide_soft,True,False,0.06949,0.06956,0.06999999999999999,False,False
scam_0286_0692324948_436_ca0_scam01286_bezaudun_____________01p01.wav,original,True,True,0.07623,0.07793,1.7,False,False
scam_0286_0692324948_436_ca0_scam01286_bezaudun_____________01p01.wav,wider_3p5sigma,True,True,0.07624,0.07793,1.6900000000000002,False,False
scam_0286_0692324948_436_ca0_scam01286_bezaudun_____________01p01.wav,wider_3sigma,True,True,0.07625,0.07793,1.6800000000000002,False,False
scam_0286_0692324948_436_ca0_scam01286_bezaudun_____________01p01.wav,very_wide_soft,True,True,0.06081,0.06081,0.0,True,False
scam_0287_0692411661_044_ca0_scam04287_aurent_______________01p01.wav,original,True,True,0.07037,0.07037,0.0,True,False
scam_0287_0692411661_044_ca0_scam04287_aurent_______________01p01.wav,wider_3p5sigma,True,True,0.07037,0.07037,0.0,True,False
scam_0287_0692411661_044_ca0_scam04287_aurent_______________01p01.wav,wider_3sigma,True,True,0.07037,0.07037,0.0,True,False
scam_0287_0692411661_044_ca0_scam04287_aurent_______________01p01.wav,very_wide_soft,True,True,0.06005,0.06005,0.0,True,False
scam_0287_0692411853_962_ca0_scam04287_aurent_______________02p01.wav,original,True,True,0.07035,0.07035,0.0,True,False
scam_0287_0692411853_962_ca0_scam04287_aurent_______________02p01.wav,wider_3p5sigma,True,True,0.07035,0.07035,0.0,True,False
scam_0287_0692411853_962_ca0_scam04287_aurent_______________02p01.wav,wider_3sigma,True,True,0.07035,0.07035,0.0,True,False
scam_0287_0692411853_962_ca0_scam04287_aurent_______________02p01.wav,very_wide_soft,True,False,0.07031,0.07037,0.060000000000000005,False,False
scam_0287_0692414330_040_ca0_scam05287_castiglione__________01p01.wav,original,True,True,0.06951,0.07016,0.65,False,False
scam_0287_0692414330_040_ca0_scam05287_castiglione__________01p01.wav,wider_3p5sigma,True,True,0.07016,0.07016,0.0,True,False
scam_0287_0692414330_040_ca0_scam05287_castiglione__________01p01.wav,wider_3sigma,True,True,0.07016,0.07016,0.0,True,False
scam_0287_0692414330_040_ca0_scam05287_castiglione__________01p01.wav,very_wide_soft,True,False,0.07012,0.0702,0.08,False,False
scam_0302_0693766635_842_ca0_scam07302_monts_du_cheval_blan_01p01.wav,original,True,True,0.07046,0.07046,0.0,True,False
scam_0302_0693766635_842_ca0_scam07302_monts_du_cheval_blan_01p01.wav,wider_3p5sigma,True,True,0.07046,0.07046,0.0,True,False
scam_0302_0693766635_842_ca0_scam07302_monts_du_cheval_blan_01p01.wav,wider_3sigma,True,True,0.07046,0.07046,0.0,True,False
scam_0302_0693766635_842_ca0_scam07302_monts_du_cheval_blan_01p01.wav,very_wide_soft,True,True,0.06023,0.06023,0.0,True,False
scam_0302_0693766731_810_ca0_scam07302_monts_du_cheval_blan_02p01.wav,original,True,True,0.07047,0.07047,0.0,True,False
scam_0302_0693766731_810_ca0_scam07302_monts_du_cheval_blan_02p01.wav,wider_3p5sigma,True,True,0.07047,0.07047,0.0,True,False
scam_0302_0693766731_810_ca0_scam07302_monts_du_cheval_blan_02p01.wav,wider_3sigma,True,True,0.07047,0.07047,0.0,True,False
scam_0302_0693766731_810_ca0_scam07302_monts_du_cheval_blan_02p01.wav,very_wide_soft,True,False,0.05997,0.06002,0.05,False,False
scam_0309_0694365855_967_ca0_scam04309_riez_________________01p01.wav,original,True,True,0.07505,0.07546,0.41,False,False
scam_0309_0694365855_967_ca0_scam04309_riez_________________01p01.wav,wider_3p5sigma,False,True,,,,,
scam_0309_0694365855_967_ca0_scam04309_riez_________________01p01.wav,wider_3sigma,False,True,,,,,
scam_0309_0694365855_967_ca0_scam04309_riez_________________01p01.wav,very_wide_soft,True,False,0.06217,0.06223,0.060000000000000005,False,False
scam_0313_0694724321_603_ca0_scam01313_bessons______________01p01.wav,original,True,True,0.07205,0.07205,0.0,True,False
scam_0313_0694724321_603_ca0_scam01313_bessons______________01p01.wav,wider_3p5sigma,False,True,,,,,
scam_0313_0694724321_603_ca0_scam01313_bessons______________01p01.wav,wider_3sigma,False,True,,,,,
scam_0313_0694724321_603_ca0_scam01313_bessons______________01p01.wav,very_wide_soft,True,False,0.06023,0.06032,0.09000000000000001,False,False
scam_0324_0695701995_789_ca0_scam01324_tourtour_____________02p01.wav,original,True,True,0.07346,0.07387,0.41,False,False
scam_0324_0695701995_789_ca0_scam01324_tourtour_____________02p01.wav,wider_3p5sigma,True,False,0.07347,0.07387,0.4,False,False
scam_0324_0695701995_789_ca0_scam01324_tourtour_____________02p01.wav,wider_3sigma,True,False,0.07347,0.07387,0.4,False,False
scam_0324_0695701995_789_ca0_scam01324_tourtour_____________02p01.wav,very_wide_soft,True,True,0.05914,0.06142,2.28,False,False
scam_0324_0695706092_522_ca0_scam04324_gourdon______________01p01.wav,original,True,True,0.07167,0.07167,0.0,True,False
scam_0324_0695706092_522_ca0_scam04324_gourdon______________01p01.wav,wider_3p5sigma,False,True,,,,,
scam_0324_0695706092_522_ca0_scam04324_gourdon______________01p01.wav,wider_3sigma,True,True,0.07167,0.07167,0.0,True,False
scam_0324_0695706092_522_ca0_scam04324_gourdon______________01p01.wav,very_wide_soft,True,False,0.06114,0.06126,0.12000000000000001,False,False
scam_0338_0696944487_786_ca0_scam05338_calandre_338_________01p01.wav,original,True,True,0.07743,0.07743,0.0,True,False
scam_0338_0696944487_786_ca0_scam05338_calandre_338_________01p01.wav,wider_3p5sigma,True,True,0.07743,0.07743,0.0,True,False
scam_0338_0696944487_786_ca0_scam05338_calandre_338_________01p01.wav,wider_3sigma,True,True,0.07743,0.07743,0.0,True,False
scam_0338_0696944487_786_ca0_scam05338_calandre_338_________01p01.wav,very_wide_soft,True,True,0.06005,0.06005,0.0,True,False
scam_0338_0696944536_824_ca0_scam05338_calandre_338_________02p01.wav,original,True,True,0.07743,0.07743,0.0,True,False
scam_0338_0696944536_824_ca0_scam05338_calandre_338_________02p01.wav,wider_3p5sigma,True,True,0.07353,0.07743,3.9,False,False
scam_0338_0696944536_824_ca0_scam05338_calandre_338_________02p01.wav,wider_3sigma,True,True,0.07353,0.07743,3.9,False,False
scam_0338_0696944536_824_ca0_scam05338_calandre_338_________02p01.wav,very_wide_soft,True,False,0.07739,0.07746,0.06999999999999999,False,False
scam_0349_0697921615_569_ca0_scam01349_blache_______________02p01.wav,original,True,True,0.07069,0.07069,0.0,True,False
scam_0349_0697921615_569_ca0_scam01349_blache_______________02p01.wav,wider_3p5sigma,True,True,0.07069,0.07069,0.0,True,False
scam_0349_0697921615_569_ca0_scam01349_blache_______________02p01.wav,wider_3sigma,True,True,0.07069,0.07069,0.0,True,False
scam_0349_0697921615_569_ca0_scam01349_blache_______________02p01.wav,very_wide_soft,True,False,0.06075,0.0608,0.05,False,False
scam_0361_0698983318_603_ca0_scam01361_naanazwod____________01p01.wav,original,True,True,0.07427,0.07591,1.64,False,False
scam_0361_0698983318_603_ca0_scam01361_naanazwod____________01p01.wav,wider_3p5sigma,True,True,0.0743,0.07591,1.61,False,False
scam_0361_0698983318_603_ca0_scam01361_naanazwod____________01p01.wav,wider_3sigma,True,True,0.0743,0.07591,1.61,False,False
scam_0361_0698983318_603_ca0_scam01361_naanazwod____________01p01.wav,very_wide_soft,True,False,0.05929,0.05934,0.05,False,False
