File Name,,,,,,
scam_0159_0681062056_835_ca0_scam04159_grand_coyer__________02p01.wav,TRUE,0.07299,-4090.253449,0.8292614602,0.001955869019,14.97006099
scam_0170_0682026345_821_ca0_scam01170_lattes_______________02p01.wav,TRUE,0.07477,-6529.750933,0.9210863705,0.001225161585,15.00852824
scam_0193_0684066469_854_ca0_scam01193_pont_________________01p01.wav,TRUE,0.07404,-7060.248575,0.9533453436,0.00113310458,16.84760018
scam_0200_0684689393_585_ca0_scam01200_ondres_______________01p01.wav,TRUE,0.06951,-1349.78332,0.9151320359,0.005926877212,7.145902352
scam_0201_0684779800_791_ca0_scam01201_digne________________02p01.wav,TRUE,0.07663,-1078.555115,0.9924718815,0.00741733073,8.389994153
scam_0211_0685666540_589_ca0_scam04211_penne________________02p01.wav,TRUE,0.06886,-1271.647326,0.9338010908,0.006291052427,2.570969227
scam_0239_0688151857_681_ca0_scam01239_cheiron______________01p01.wav,TRUE,0.06906,-5865.14989,0.682067588,0.001363989011,-9.559969551
scam_0239_0688152051_670_ca0_scam01239_cheiron______________02p01.wav,TRUE,0.07177,-7955.488449,0.7616602124,0.001005595075,9.440068188
scam_0239_0688154484_917_ca0_scam02239_content______________01p01.wav,TRUE,0.07339,-2697.631903,0.8225865212,0.002965563979,13.90810525
scam_0242_0688417845_578_ca0_scam04242_pal__________________01p01.wav,TRUE,0.07372,-3440.345253,0.9226416463,0.002325348014,1.977010917
scam_0247_0688865095_185_ca0_scam01247_brac_247_____________02p01.wav,TRUE,0.07444,-3032.151121,0.9440284444,0.002638390924,12.08736438
scam_0253_0689397372_279_ca0_scam02253_valette______________01p01.wav,TRUE,0.07121,-3868.198296,0.9565869734,0.002068146302,9.40571217
scam_0253_0689397541_091_ca0_scam02253_valette______________02p01.wav,TRUE,0.07028,-5772.511942,0.9826685456,0.001385878467,-10.60901559
scam_0255_0689572368_351_ca0_scam01255_ubraye_255___________01p01.wav,TRUE,0.07211,-3399.562296,0.9686023731,0.002353244125,12.57543496
scam_0274_0691261499_530_ca0_scam01274_melle________________02p01.wav,TRUE,0.07503,-4199.679436,0.9659391397,0.001904907296,-1.451487211
scam_0279_0691717551_834_ca0_scam02279_rent_________________01p01.wav,TRUE,0.06907,-4803.694058,0.6502770071,0.001665384994,14.27278222
scam_0286_0692324948_436_ca0_scam01286_bezaudun_____________01p01.wav,TRUE,0.07623,-916.8422129,0.9629293779,0.008725601731,8.037285449
scam_0287_0692411661_044_ca0_scam04287_aurent_______________01p01.wav,TRUE,0.07037,-2260.540033,0.8654643185,0.003538977361,12.45089481
scam_0287_0692411853_962_ca0_scam04287_aurent_______________02p01.wav,TRUE,0.07035,-2950.525461,0.954959094,0.002711381449,10.04285684
scam_0287_0692414330_040_ca0_scam05287_castiglione__________01p01.wav,TRUE,0.06951,-3407.264991,0.9107893477,0.002347924221,13.63621412
scam_0302_0693766635_842_ca0_scam07302_monts_du_cheval_blan_01p01.wav,TRUE,0.07046,-2872.217064,0.9894421912,0.002785304808,3.752964108
scam_0302_0693766731_810_ca0_scam07302_monts_du_cheval_blan_02p01.wav,TRUE,0.07047,-5992.86503,0.9080639364,0.00133492077,15.6839449
scam_0309_0694365855_967_ca0_scam04309_riez_________________01p01.wav,TRUE,0.07505,-1598.536096,0.7703742095,0.005004578888,11.48400199
scam_0313_0694724321_603_ca0_scam01313_bessons______________01p01.wav,TRUE,0.07205,-6717.498486,0.9520482164,0.001190919509,-1.581706452
scam_0324_0695701995_789_ca0_scam01324_tourtour_____________02p01.wav,TRUE,0.07346,-2535.982811,0.9068095028,0.003154595514,10.48201197
scam_0324_0695706092_522_ca0_scam04324_gourdon______________01p01.wav,TRUE,0.07167,-1198.062546,0.978971157,0.006677447709,9.770436843
scam_0338_0696944487_786_ca0_scam05338_calandre_338_________01p01.wav,TRUE,0.07743,-3087.126271,0.9565017747,0.002591406796,-3.811676507
scam_0338_0696944536_824_ca0_scam05338_calandre_338_________02p01.wav,TRUE,0.07743,-2721.262082,0.8563659868,0.002939812395,13.95033724
scam_0349_0697921615_569_ca0_scam01349_blache_______________02p01.wav,TRUE,0.07069,-1378.090943,0.9662869698,0.005805132123,11.65490052
scam_0361_0698983318_603_ca0_scam01361_naanazwod____________01p01.wav,TRUE,0.07427,-3654.103443,0.9002314114,0.002189319521,9.130591187
scam_0361_0698983364_602_ca0_scam01361_naanazwod____________02p01.wav,TRUE,0.07403,-1249.80914,0.8039702949,0.006400977351,0.6642189576
,,,,,,
scam_0108_0676523622_180_ca0_scam01108_jih__________________02p01.wav,FALSE,,,,,
scam_0110_0676702998_588_ca0_scam03110_naakih_tsaadah_______01p01.wav,FALSE,,,,,
scam_0113_0676966786_559_ca0_scam01113_mussih_______________01p01.wav,FALSE,,,,,
scam_0113_0676966938_600_ca0_scam01113_mussih_______________02p01.wav,FALSE,,,,,
scam_0127_0678209085_589_ca0_scam01127_kad__________________01p01.wav,FALSE,,,,,
scam_0131_0678564491_671_ca0_scam04131_cheval_blanc_________01p01.wav,FALSE,,,,,
scam_0131_0678564646_684_ca0_scam04131_cheval_blanc_________02p01.wav,FALSE,,,,,
scam_0147_0679984828_603_ca0_scam04147_pepin________________01p01.wav,FALSE,,,,,
scam_0181_0683003225_821_ca0_scam01181_manior_______________02p01.wav,FALSE,,,,,
scam_0183_0683183544_821_ca0_scam01183_sauzeries_hautes_____01p01.wav,FALSE,,,,,
scam_0183_0683183736_826_ca0_scam01183_sauzeries_hautes_____02p01.wav,FALSE,,,,,
scam_0183_0683186320_932_ca0_scam02183_sauzeries_basses_____01p01.wav,FALSE,,,,,
scam_0183_0683186485_901_ca0_scam02183_sauzeries_basses_____02p01.wav,FALSE,,,,,
scam_0184_0683272998_853_ca0_scam03184_sauze________________02p01.wav,FALSE,,,,,
scam_0201_0684779623_772_ca0_scam01201_digne________________01p01.wav,FALSE,,,,,
scam_0213_0685844643_151_ca0_scam04213_moustiers_sainte_mar_01p01.wav,FALSE,,,,,
scam_0242_0688418039_588_ca0_scam04242_pal__________________02p01.wav,FALSE,,,,,
scam_0242_0688420559_670_ca0_scam05242_nans_________________01p01.wav,FALSE,,,,,
scam_0242_0688420722_703_ca0_scam05242_nans_________________02p01.wav,FALSE,,,,,
scam_0246_0688773232_591_ca0_scam01246_amignon______________01p01.wav,FALSE,,,,,
scam_0250_0689128711_062_ca0_scam01250_hotel________________01p01.wav,FALSE,,,,,
scam_0250_0689128907_101_ca0_scam01250_hotel________________02p01.wav,FALSE,,,,,
scam_0250_0689145560_077_ca0_scam04250_villeneuve___________01p01.wav,FALSE,,,,,
scam_0250_0689145702_059_ca0_scam04250_villeneuve___________02p01.wav,FALSE,,,,,
scam_0274_0691261308_479_ca0_scam01274_melle________________01p01.wav,FALSE,,,,,
scam_0274_0691263225_224_ca0_scam03274_chasteuil____________01p01.wav,FALSE,,,,,
